Sentence,Sentiment,Translated
এই গানটো কোনে লিখিছিল নো?,1,Who wrote this song no?
মাকচুদু,0,makchudu
বৰ্তমান সময়ত এনেকুৱা মধুৰ গীত শুনিবলৈ পোৱা বহুত কঠিন,1,It is very difficult to hear such sweet songs today.
কি গান গাবলৈ আহি ছ,0,What songs to sing
গানটো গাবলৈ লাজ নাই,0,No shame in singing the song
শুনি থাকিলেই শুনি থাকিব মন যোৱা কালজয়ী গীত,1,Listen to the classic songs you feel like listening to
পুৰণি কুসুম দা আকৌ উভতি আহিছে,1,Old Kusum Da is back
"এজন চৰকাৰী বিষয়া হোৱাৰ বাবে, মই সদায় মোৰ ঘৰৰ পৰা হাজাৰ কিলোমিটাৰ দূৰত আছোঁ..আৰু যেতিয়াই মই দুখ অনুভৱ কৰোঁ বা যিকোনো বস্তুতকৈ মোৰ ঘৰটো হেৰুৱাওঁ, মই কেৱল এই গানটো শুনো",1,"Being a government official, I am always thousands of kilometres away from my house. And whenever I feel sad or lose my house more than anything, I just listen to this song"
এইটো চাই অসমবাসীৰ মৃত্যু হৈছে,0,Assamese have died after watching this
এনেকুৱা ধুণিযা গীত কত পাম।,1,How much can I get such a beautiful song?
আসক্ত,1,addicted
মজা লাগিল ভাল লাগিল বহুত আনন্দ পালো,1,"It's fun, it's nice to have a lot of fun."
কি ফালটো গান বনালে,0,What a side song you made
কি যে সুন্দৰ গীতটো,1,What a beautiful song
ইমান ধুনীয়া গান টো,1,Such a beautiful song
একেবাৰে ফাল্টু।,0,Absolutely faltu.
ভিকাৰি নেকি বে,0,Beggary Bay
এই গানটো শুনি মই বহুত ভাল অনুভৱ কৰোঁ।,1,I feel great listening to this song.
গৌৰৱৰ কথা এয়ে যে কমেন্ট বক্স ত গৰিষ্ঠ সংখ্যকে অসমীয়া ত কমেন্ট কৰিছে,1,Proud lying in the comment box a large number commented on Assamese
বাল ভিডিঅ',0,Bal Video
কি নৰক ভাই,0,What hell brother
গৰু,0,cow
আজিৰ আধুনীক দিনৰ বিহুৱে এনেহেন বিহুক ফেৰ মাৰিব নোৱাৰে,1,Today's adhuni is not able to beat such bihu by day bihu.
ইমান বেয়া গাই জ সব গানত তাক মাৰিব আহে গুণদা বোৰ,0,So bad sings that all the songs come to kill him gunda
অনুগ্ৰহ কৰি মূৰ্খ ৰখা বন্ধ কৰক,0,Please stop keeping fools
এই লোকসকল  অসমীয়া গীতৰ  পতনৰ বাবে দায়ী,0,These people are responsible for the fall of Assamese songs
এটা গান কিমান শান্তিপূৰ্ণ হ'ব পাৰে,1,How peaceful a song can be
হৃদয় স্পৰ্শকৰা গান,1,Heart Touching Songs
লাভ ইউ জুবিন দা,1,Love You Zubin Da
সঁচাকৈ গানটোৰ পৰা বহুত সাহস পালোঁ,1,I really got a lot of courage from the song.
সৰু কালত ৰেডিঅ'ত শুনা গান এতিয়া শুনি চকু মুদি সৰু কালৰ দিনবোৰ ৰোমন্থন কৰি আছো,1,Listening to the songs heard on the radio as a child are now making a splash of eyes and churning out the days of childhood.
নিলাজ,0,shame
কবোলৈ একো ভাষা অ নাই,1,There is no language to say
গীতৰ জাত মৰিলে,0,The song is dead
মজা ভাই,1,Fun Brother
অসমীয়া সংস্কৃতি ধৰি ৰখা অতি অতি কৈ সুন্দৰ গীত,1,Very beautiful songs that hold Assamese culture
আপুনি আমাৰ অসমীয়া সমাজৰ বাবে এটি উজ্বল তৰাৰ দৰে,1,You are like a shining star for our Assamese society.
মই এতিয়া বধিৰ আৰু বোবা।,0,I'm deaf and dumb now.
জুবেন ... কি নাম .. কি কণ্ঠস্বৰ... অবিশ্বাস্য ...,1,Juben... What's the name.. What a voice... Incredible...
মই শিল্পী আখ্যা দিব নিবিচাৰো,0,I don't want to be called an artist
ভাই শুনি আমনি লাগিল,0,Brother was bored to hear
কি ফটোৱা,0,What photowa
সঁচাকৈ অদ্ভূত আৰু মোহনীয় গান,1,Truly strange and enchanting songs
আহঃ ইমান ধুনীয়া বিহুগীত,1,Ah: Such a beautiful song
এই বোৰ গান হল নেকি কেলা হুত,0,Are these songs kela hut?
বাজে কথা,0,Stupid topic
একো অৰ্থ নাই গান টোৰ,0,The song doesn't mean anything
এই গানটো সৃষ্টি কৰাৰ বাবে আপোনাক বহুত ধন্যবাদ,1,Thank you very much for creating this song
বৰ ভাল লাগিল আৰু আছে যদি দিব,1,It's great and there's if i'll give it
সোণালী গান।,1,Golden song.
"ঢোল পেপাঁৰ সুন্দৰ শব্দ শৈলীৰ মাজত সাজ পোছাকৰ বিভিন্নতাই গানটোক বিকৃত কৰা যেন অনুভৱ হল,আপোনাৰ পৰা ইয়াতকৈ বহু বেছি আশা কঁৰো",0,"The variety of costumes in the beautiful sound style of dhol papa seemed to distort the song, i expect a lot more from you than this."
"ফফৰা  লোকৰ গানেৰে জনপ্ৰিয়তা গোটালে কি হ'ব,সচাঁটো ওলাবই",0,"What happens if the fan's songs bring popularity, the truth will come out"
খেকাৰ লাগি আছে কাহ এটা মাৰি গাব লাগিছিল ৰাকু দা,0,Raku Da had to sing a cough.
যান্ত্ৰিকতাই গচকি পেলালে,0,Mechanicality shattered
শেষলৈকে সহ্য কৰিব নোৱাৰি,0,Can't stand till the end
"কিমান যে শুৱনি আগৰ গীতবোৰ ,এবাৰ শুনিলে আৰু শুনি থাকিবলৈয়ে মন যায়।",1,"How many songs before listening, it is hearth to listen and listen to them once."
এই গানবোৰ শুনি সকলোৱে মৰিব,0,Everyone will die after listening to these songs
ধুনীয়া গানটো শুনি কমেণ্ট পঢ়ি থকা সকলৰ বাবে ৰঙা চাহৰ ব্যৱস্থা কৰা হৈছে৷ অনুগ্ৰহ কৰি গ্ৰহণ কৰে যেন,1,Red tea has been arranged for those reading comments after listening to the beautiful song. Please accept it as if
সদায় প্ৰিয়  একান্তই নিজৰ অনুভৱ,1,"Always dear, it's your own feeling."
পাগল মানুহ,0,Crazy people
গীতৰ কথা কি সুন্দৰ,1,What a beautiful song
এই মূৰ্খ ব্যক্তিজন কোন,0,Who is this stupid person
তই এটা মক্কেল যোহৰা,0,That's a client johra
এই আৱৰ্জনাবোৰ কিয় আপলোড কৰিছা,0,Why upload these wastes
আপোনাৰ গানৰ ভাষা-শৈলীৰ এটা সুকীয়া মাদকতা আছিল। এইটো গানত বিচাৰি নাপালোঁ,0,Your song language style had a distinct intoxicating ness. Couldn't find it in the song
এনেধৰণৰ পুৰণি বিহু মাজতহে বিহুৰ আচল মাদকতা সোমাই আছে,1,It is in the midst of such an old Bihu that bihu's real intoxicating intoxication is embedded.
মোককেল কেলা ঠাকুৰীয়া,0,Mokkel Kela Thakuria
জীৱন কাইটীয়া হ'ল,0,Life is over
তুমি নিজে ভাল  গান ওলোৱা আৰু গোৱা,0,You yourself have a good song and sing
দাদা মোৰ সদায় প্ৰিয়,1,Dada is always my favourite
আপুনি গান গোৱা বন্ধ কৰা উচিত,0,You should stop singing
আমিবোৰ যেন পশ্চিমৰ সংস্কৃতিত লীন গলো,0,We seemed to be absorbed in western culture.
মাকচাই দিনটো লাগি আচে চেত,0,Maksai din lagi achhe chet
ফালি দিচা ভাই,1,Fali Disa Bhai
সঁচাকৈয়ে এডাল ধুনীয়া শব্দৰ মালা,1,A really beautiful garland
হৃদয় স্পৰ্শকৰা গান,1,Heart Touching Songs
আপোনালোকে এনেকৈ জনপ্ৰিয় নহলেও হব,0,You will not be popular like this
ফালতু গান,0,sly song
কাউৰীৰ গান আপোনাৰ তকৈ ভাল,0,Crow's song is better than yours
"মই মোৰ আইতাৰ সৈতে চিকিৎসালয়ত আছিলো আৰু মই দুৰ্ঘটনাক্ৰমে এই গানটো বজাইছিলো, চিকিৎসালয়খন এতিয়া এটা কবৰস্থান",0,"I was in the hospital with my grandmother and I accidentally played this song, the hospital is now a cemetery"
এই লোকসকল কোন আৰু তেওঁলোকৰ অস্তিত্ব কিয় আছে,0,Who are these people and why do they exist
চুঁৱৰ,0,pig
ফকতীয়া  গান,0,faktia song
মনতুত নতুন গানবোৰে আনন্দ দিয়ে কিন্তু এনে গানে হিদয়ৰ মাজত মৌচুমিৰ মলয়া বতাহ বলাই মন হিতল কৰি দিয়ে,1,New songs in mind bring joy but such songs make the mind feel good by saying the air of monsoon in the heart.
এই গীতটোৱে সমগ্ৰ অসমসংস্কৃতিক আক্ৰমণ কৰে,0,This song attacks the entire assamculture
লিৰিচ্ছ বোৰ ভাল কৰা ভাই জা তা গাই থাকিলে কি হব,0,What happens if you sing the leerch well done brother ja
"এইটো কেৱল এটা গান নহয়, এইটো এটা আৱেগ",1,"It's not just a song, it's an emotion"
এনেকৈয়ে আগুৱাই যোৱা তুমি,1,That's how you go
মানুহে ইয়াক কেনেকৈ গ্ৰহণ কৰিব পাৰে?,0,How can people accept it?
ই ইমান আৰামদায়ক,1,It's so comfortable
তহতক কুকুৰ বুলি কলেও কুকুৰকেইটাক হে অপমান কৰা হব।,0,"Even if they are called dogs, only dogs will be insulted.
"
কিযে অপূৰ্ব সংগীত,1,What a wonderful music
লাইকতকৈ বেছি অপছন্দ আছে,0,There are more dislikes than likes
হৰামি,0,harami
মই বহুদিনৰ পৰা গীতটোৰ আপেক্ষা কৰি আছিলোঁ ।,1,I had been waiting for the song for a long time.
এই ভিডিঅ'টো চোৱাৰ পিছত মই এতিয়া চিকিৎসালয়ত আছোঁ,0,I am now in the hospital after watching this video
জুই,1,fire
বৰ্বাদ গীত,0,vabad geet
বহুত শুৱলা হৈছে,1,It's too dry
এই গানটোৰ অংশ হোৱা সকলোৰে বাবে লাজ,0,Shame on everyone who is a part of this song
মন প্ৰাণ কাঢ়ি নিয়া সতেজ বিহু,1,Fresh Bihu taking away the mind
সুকন্ঠৰে সভ্য গীত গাব লাগে,0,Sing civilised songs with a voice
এই গানটোৰ সকলোবোৰ আমনিদায়ক,0,Everything in this song is boring
অনুগ্ৰহ কৰি এই গানটো নিষিদ্ধ কৰক,0,Please ban this song
