Sentence,Sentiment
এই গানটো কোনে লিখিছিল নো?,1
মাকচুদু,0
বৰ্তমান সময়ত এনেকুৱা মধুৰ গীত শুনিবলৈ পোৱা বহুত কঠিন ,1
 কি গান গাবলৈ আহি ছ,0
গানটো গাবলৈ লাজ নাই,0
শুনি থাকিলেই শুনি থাকিব মন যোৱা কালজয়ী গীত,1
পুৰণি কুসুম দা আকৌ উভতি আহিছে,1
"এজন চৰকাৰী বিষয়া হোৱাৰ বাবে, মই সদায় মোৰ ঘৰৰ পৰা হাজাৰ কিলোমিটাৰ দূৰত আছোঁ..আৰু যেতিয়াই মই দুখ অনুভৱ কৰোঁ বা যিকোনো বস্তুতকৈ মোৰ ঘৰটো হেৰুৱাওঁ, মই কেৱল এই গানটো শুনো",1
এইটো চাই অসমবাসীৰ মৃত্যু হৈছে,0
এনেকুৱা ধুণিযা গীত কত পাম।,1
আসক্ত,1
মজা লাগিল ভাল লাগিল বহুত আনন্দ পালো,1
কি ফালটো গান বনালে ,0
কি যে সুন্দৰ গীতটো,1
ইমান ধুনীয়া গান টো,1
একেবাৰে ফাল্টু।,0
ভিকাৰি নেকি বে,0
এই গানটো শুনি মই বহুত ভাল অনুভৱ কৰোঁ।,1
গৌৰৱৰ কথা এয়ে যে কমেন্ট বক্স ত গৰিষ্ঠ সংখ্যকে অসমীয়া ত কমেন্ট কৰিছে,1
বাল ভিডিঅ',0
কি নৰক ভাই,0
গৰু,0
আজিৰ আধুনীক দিনৰ বিহুৱে এনেহেন বিহুক ফেৰ মাৰিব নোৱাৰে,1
ইমান বেয়া গাই জ সব গানত তাক মাৰিব আহে গুণদা বোৰ,0
অনুগ্ৰহ কৰি মূৰ্খ ৰখা বন্ধ কৰক,0
এই লোকসকল  অসমীয়া গীতৰ  পতনৰ বাবে দায়ী,0
এটা গান কিমান শান্তিপূৰ্ণ হ'ব পাৰে,1
হৃদয় স্পৰ্শকৰা গান,1
লাভ ইউ জুবিন দা,1
সঁচাকৈ গানটোৰ পৰা বহুত সাহস পালোঁ,1
সৰু কালত ৰেডিঅ'ত শুনা গান এতিয়া শুনি চকু মুদি সৰু কালৰ দিনবোৰ ৰোমন্থন কৰি আছো,1
নিলাজ,0
কবোলৈ একো ভাষা অ নাই,1
" গীতৰ জাত মৰিলে",0
মজা ভাই,1
অসমীয়া সংস্কৃতি ধৰি ৰখা অতি অতি কৈ সুন্দৰ গীত,1
আপুনি আমাৰ অসমীয়া সমাজৰ বাবে এটি উজ্বল তৰাৰ দৰে,1
মই এতিয়া বধিৰ আৰু বোবা।,0
জুবেন ... কি নাম .. কি কণ্ঠস্বৰ... অবিশ্বাস্য ...,1
মই শিল্পী আখ্যা দিব নিবিচাৰো,0
ভাই শুনি আমনি লাগিল,0
কি ফটোৱা,0
সঁচাকৈ অদ্ভূত আৰু মোহনীয় গান,1
আহঃ ইমান ধুনীয়া বিহুগীত,1
এই বোৰ গান হল নেকি কেলা হুত,0
বাজে কথা ,0
একো অৰ্থ নাই গান টোৰ,0
এই গানটো সৃষ্টি কৰাৰ বাবে আপোনাক বহুত ধন্যবাদ,1
বৰ ভাল লাগিল আৰু আছে যদি দিব,1
সোণালী গান।,1
"ঢোল পেপাঁৰ সুন্দৰ শব্দ শৈলীৰ মাজত সাজ পোছাকৰ বিভিন্নতাই গানটোক বিকৃত কৰা যেন অনুভৱ হল,আপোনাৰ পৰা ইয়াতকৈ বহু বেছি আশা কঁৰো",0
"ফফৰা  লোকৰ গানেৰে জনপ্ৰিয়তা গোটালে কি হ'ব,সচাঁটো ওলাবই",0
"খেকাৰ লাগি আছে কাহ এটা মাৰি গাব লাগিছিল ৰাকু দা",0
যান্ত্ৰিকতাই গচকি পেলালে,0
শেষলৈকে সহ্য কৰিব নোৱাৰি,0
"কিমান যে শুৱনি আগৰ গীতবোৰ ,এবাৰ শুনিলে আৰু শুনি থাকিবলৈয়ে মন যায়।",1
এই গানবোৰ শুনি সকলোৱে মৰিব,0
ধুনীয়া গানটো শুনি কমেণ্ট পঢ়ি থকা সকলৰ বাবে ৰঙা চাহৰ ব্যৱস্থা কৰা হৈছে৷ অনুগ্ৰহ কৰি গ্ৰহণ কৰে যেন,1
সদায় প্ৰিয়  একান্তই নিজৰ অনুভৱ,1
পাগল মানুহ,0
গীতৰ কথা কি সুন্দৰ,1
এই মূৰ্খ ব্যক্তিজন কোন,0
তই এটা মক্কেল যোহৰা,0
